Type.hybrid.1,MMI.hybrid,Replicate,SampleDate,StationID
Intermediate,0.950288006,1,6.23.08,201RDW080
Intermediate,0.945336327,1,6.3.09,201RDW080
Intermediate,0.995881828,2,6.3.09,201RDW080
Intermediate,0.825327258,1,8.11.09,201RDW080
Intermediate,1.005365867,1,8.12.08,201RDW080
Reference,0.897428094,1,6.29.10,202BUT030
Reference,0.869226774,1,6.14.11,202BUT040
Reference,1.016633284,1,6.4.14,202BUT040
Reference,0.355951628,1,6.16.09,202BUT050
Reference,0.759748947,1,6.25.12,202BUT480
Reference,0.780804084,1,6.26.12,202BUT600
Stressed,0.956784341,1,6.4.13,202BUT850
Reference,0.845545456,1,6.5.13,202DRY010
NA,0.75711554,1,5.6.14,202DW0018
NA,0.843878795,1,6.16.14,202DW0050
NA,0.734642015,2,6.16.14,202DW0050
NA,0.897131329,1,5.6.14,202DW0194
Intermediate,0.846694548,1,6.13.12,202LAH950
Intermediate,0.792411056,1,5.7.14,202MIC150
Intermediate,0.957233034,1,4.27.09,202PES162
Intermediate,0.779368694,1,5.1.08,202PES162
Intermediate,0.817186827,1,6.16.09,202PES162
Intermediate,0.9083431,1,6.18.08,202PES162
Intermediate,1.081205533,1,6.7.10,202PES162
Intermediate,1.109565263,1,8.17.09,202PES162
Intermediate,1.02579684,1,9.10.08,202PES162
Intermediate,1.118204701,2,9.10.08,202PES162
Reference,0.874065484,1,6.6.13,202PES168
Stressed,0.773115234,1,5.31.11,202PS0134
Intermediate,0.98005728,1,6.5.13,202PS0246
Reference,0.927545926,1,6.6.12,202R00024
NA,0.91781657,1,5.29.12,202R00072
Stressed,0.807441558,1,5.30.12,202R00087
Intermediate,0.580329329,1,5.23.13,202R00248
Intermediate,0.797819861,2,5.23.13,202R00248
Reference,0.627280256,1,5.22.13,202R00280
Stressed,1.063910912,1,6.15.12,202R00284
Stressed,0.827493086,1,5.21.13,202R00908
Reference,0.977619641,1,6.15.09,202SPE090
Intermediate,0.929118219,1,5.12.14,202TUN600
Stressed,0.908688924,1,7.19.10,203PS0070
Stressed,0.82761585,1,9.7.10,203PS0070
Stressed,0.739833047,1,5.14.12,203R00039
Intermediate,0.745320637,1,6.6.13,203R00983
Reference,0.827220779,1,6.2.14,204AHOACR
Intermediate,0.779926869,1,6.17.13,204ALA320
Intermediate,1.07000389,1,6.11.13,204ALA382
Intermediate,1.10842039,1,6.24.13,204ALA396
Intermediate,1.059416483,1,5.8.13,204ALA410
Reference,0.982310081,1,6.10.13,204ALA500
Reference,1.113644742,2,6.10.13,204ALA500
Intermediate,1.198206438,1,5.22.12,204ALA525
Stressed,0.352726428,1,4.10.11,204ALP040
Stressed,0.215556372,1,6.29.11,204ALP040
Stressed,0.461690444,1,4.10.11,204ALP105
Stressed,0.724382623,1,4.10.11,204ALP151
Stressed,0.719700912,1,6.29.11,204ALP151
Reference,1.153223369,1,6.2.14,204ARH090
NA,0.749358225,1,5.13.14,204DW0039
NA,1.069130273,1,5.7.14,204DW0074
NA,0.789254977,1,6.10.14,204DW0150
NA,0.870019755,1,5.12.14,204DW0202
NA,0.843023949,1,5.12.14,204DW0227
Reference,0.928695175,1,4.13.09,204IND200
Reference,0.918715356,1,4.29.08,204IND200
Intermediate,0.857992807,1,5.20.08,204IND200
Intermediate,0.802655425,2,5.20.08,204IND200
Reference,0.993157215,1,5.25.10,204IND200
Reference,1.098699885,2,5.25.10,204IND200
Reference,0.971396256,1,6.11.09,204IND200
Intermediate,0.923001403,1,6.16.08,204IND200
Stressed,0.484682573,1,6.19.08,204PS0038
Stressed,0.769966821,1,7.14.10,204PS0094
Stressed,0.829725332,1,6.15.11,204PS0102
Stressed,0.759069262,2,6.15.11,204PS0102
Stressed,0.768183473,1,8.10.11,204PS0102
Stressed,0.95886934,1,6.15.11,204PS0118
Stressed,0.793706483,1,6.6.12,204R00047
Stressed,0.677644206,1,6.4.13,204R00063
Stressed,0.633410255,1,5.31.12,204R00068
Stressed,0.68444694,1,5.24.12,204R00084
Stressed,0.801334363,1,5.30.12,204R00100
Stressed,0.857024703,1,5.30.12,204R00180
Reference,0.938745994,1,5.6.13,204R00189
Stressed,0.955731143,1,5.29.12,204R00191
Stressed,0.797937976,1,5.31.12,204R00200
Stressed,0.669575123,1,6.12.12,204R00232
Stressed,0.752173116,2,6.12.12,204R00232
Stressed,0.705363634,1,6.12.12,204R00244
Stressed,0.632772608,1,6.14.12,204R00303
Stressed,0.789154496,1,6.7.12,204R00319
Stressed,0.593774812,2,6.7.12,204R00319
Stressed,0.637869273,1,5.7.13,204R00327
Stressed,0.897792726,1,5.8.13,204R00334
Stressed,0.680566092,1,6.11.12,204R00340
Stressed,0.83674283,1,6.4.12,204R00356
Stressed,0.862901419,1,6.12.12,204R00367
Stressed,0.58408276,1,6.11.12,204R00383
Stressed,0.827528477,1,6.6.12,204R00391
Stressed,0.835049962,1,5.20.13,204R00436
Stressed,0.714096283,1,4.22.13,204R00447
Stressed,0.783922337,1,6.13.12,204R00455
Stressed,0.851741256,1,5.9.13,204R00473
Stressed,0.788000001,2,5.9.13,204R00473
